번호,상태,기업정보,채용기간,업데이트일,채용공고명,분야,직무,경력조건,자격요건
3171,마감,주식회사 스탁키퍼,~ 2023-04-30,2023-04-18,"[스탁키퍼(뱅카우)] 상품운영 관리자 (B2B,B2C)",크라우드펀딩,기타,경력,식품 유통업체 경험이 있으신 분 ㆍ엑셀 고급 이상이신 분
3170,마감,스마트핀텍,~ 2023-04-28,2023-04-18,풀스텍 개발자 팀장/리더급 7년이상 경력직 채용,"개인자산관리,로보어드바이저","백엔드 개발,프론트엔드 개발",경력,Spring Boot를 이용한 웹 서비스 개발 경험이 있으신 분
3169,마감,스마트핀텍,~ 2023-04-28,2023-04-18,"JAVA, Spring back-end 개발자 경력직 채용","개인자산관리,로보어드바이저",네트워크/서버/보안,경력,Java 프로그램 및 Springboot환경 개발 경험자
3168,마감,바른기술,~ 2023-04-30,2023-04-18,시스템/응용/보안 신입 개발자 채용,개인자산관리,네트워크/서버/보안,신입,"경력 : 신입 (사원, 팀원급)"
3167,마감,바른기술,~ 2023-04-30,2023-04-18,시스템/응용/보안 개발자 모집,개인자산관리,네트워크/서버/보안,경력,해당직무 근무경험
3166,마감,(주)이디피랩,2023-04-12 ~ 2023-06-11,2023-04-12,"백엔드개발 엔지니어 - Java, Springboot (경력5년 이상)",인슈어테크,백엔드 개발,경력,경력 5년 이상
3165,마감,피네보 주식회사,~ 2023-04-30,2023-04-10,[VAN/PG서비스] 웹개발 경력 채용 - 채용시 마감,금융 소프트웨어,백엔드 개발,경력,"요구 기술: JAVA, javascript, MyBatis, Oracle, Spring, SQL, Tibero, Tomcat"
3164,마감,코코넛사일로(주),~ 2023-06-02,2023-04-10,[코코넛사일로(주)] 사무행정 기획 관리 모집,빅데이터 분석,기타,경력무관,기본 QA 사용 가능 및 문서 작성이 우수하신 분
3163,마감,코코넛사일로(주),~ 2023-05-01,2023-04-10,[코코넛사일로(주)] APP/WEB 플랫폼 서비스 기획자 모집- 채용시 마감,빅데이터 분석,기획/마케팅,경력무관,"Figma, Notion, Jira 등 협업 Tool 을 원활하게 사용 가능하신 분"
3162,마감,코코넛사일로(주),~ 2023-05-22,2023-04-10,[코코넛사일로(주)] UX/UI 디자이너 채용 (경력 2년 이상),빅데이터 분석,퍼블리싱/디자인(UI/UX),경력,경력 2년 이상
3161,마감,코코넛사일로(주),~ 2023-05-15,2023-04-10,[코코넛사일로(주)] 해외 사업 전략 기획 (라오스 근무),빅데이터 분석,기획/마케팅,경력,국내외물류 산업 이해도 보유
3160,마감,블록크래프터스,~ 2023-04-30,2023-04-10,Senior Front-end Engineer - 상시채용,블록체인,프론트엔드 개발,경력,React 또는 React Native 애플리케이션 개발 경험
3159,마감,한국전자인증,~ 2023-04-30,2023-04-10,암호 (crypto) 개발자 채용- 상시채용,보안/인증,네트워크/서버/보안,경력,전공 : 암호학 관련 전공 우대 • C/C++ 개발 가능한 사람
3158,마감,한국전자인증,~ 2023-04-18,2023-04-10,솔루션사업본부 기술영업직 채용,보안/인증,기타,경력,인증·보안 등의 솔루션 패키지 혹은 블록체인 세일즈 경력 5년 이상
3157,마감,한국전자인증,~ 2023-04-30,2023-04-10,IT 정보보안(Security Manager),보안/인증,네트워크/서버/보안,경력,"외부 심사, 감사 대응 및 취약점 조치 경험"
3156,마감,한국전자인증,~ 2023-04-12,2023-04-10,IT 정보보안(Security Manager) 경력직원 채용,보안/인증,네트워크/서버/보안,경력,경력 : 2년~5년
3155,마감,하이브랩,~ 2023-05-07,2023-04-10,[하이브랩] UX팀 웹/앱기획자 경력직 채용,블록체인,퍼블리싱/디자인(UI/UX),경력,프로젝트 런칭 및 운영 경험이 있으신 분
3154,마감,하이브랩,~ 2023-05-06,2023-04-10,[하이브랩] Java 개발자 정규직 채용 (8년 이상),블록체인,백엔드 개발,경력,프로젝트 개발PL로 분석/설계 및 개발 일정/이슈/멤버에 대해 관리가 가능하신 분
3153,마감,하이브랩,~ 2023-04-20,2023-04-10,[하이브랩] 서비스 UI 운영 디자이너 경력직 채용,블록체인,퍼블리싱/디자인(UI/UX),경력,"포토샵,일러스트,드로잉 활용이 능숙하신 분"
