회사명,지역,직종
로완,서울 중구,AI
로완,서울 중구,AI
로완,서울 중구,AI
교보문고,서울 마포구,AI
원라인에이아이,서울 마포구,AI
업스테이지,경기,AI
포티투닷(42dot),경기,AI
모빌린트,서울 강남구,AI
모빌린트,서울 강남구,AI
모빌린트,서울 강남구,AI
엘리스,서울 강남구,AI
글로비즈,서울 관악구,AI
모빅랩,서울 서초구,AI
모빅랩,서울 서초구,AI
엔비티(NBT),서울 서초구,AI
원티드 재팬(wanted),서울,AI
포티투닷(42dot),경기 성남시,AI
빅밸류,서울 중구,AI
빅밸류,서울 중구,AI
포티투닷(42dot),경기 성남시,AI
바잉스퀘어,서울 강남구,AI
포티투닷(42dot),경기 성남시,AI
코가로보틱스,서울 성동구,AI
바이온사이트,서울 성동구,AI
포티투닷(42dot),경기 성남시,AI
엔엑스엔랩스,서울 서초구,AI
안티그래비티,서울 성동구,AI
안티그래비티,서울 성동구,AI
안티그래비티,서울 성동구,AI
테스트웍스,서울 송파구,AI
앰버로드,서울 강남구,AI
골든플래닛,서울 강남구,AI
해줌,서울 송파구,AI
테스트웍스,서울 송파구,AI
아폴론,서울 강서구,AI
업스테이지,경기,AI
웨어러블에이아이,서울 영등포구,AI
웨어러블에이아이,서울 영등포구,AI
라온데이터,서울 중구,AI
룰루랩(lululab),서울 강남구,AI
드래프티파이,서울 강남구,AI
포티투닷(42dot),경기 성남시,AI
포티투닷(42dot),경기 성남시,AI
커먼컴퓨터,서울 동작구,AI
셰어라운드,서울 종로구,AI
아이트럭,서울 서초구,AI
아이트럭,서울 서초구,AI
뷰노,서울 서초구,AI
포스트랩,서울 강남구,AI
피플리,서울 마포구,AI
호두에이아이랩,서울 관악구,AI
골든플래닛,서울 강남구,AI
제틱에이아이,서울 강남구,AI
지바이크(gbike),서울 강남구,AI
트웰브랩스(Twelve Labs),서울 용산구,AI
플루언트,서울 강남구,AI
토르드라이브,서울 영등포구,AI
토르드라이브,서울 영등포구,AI
한국그린데이터,서울 서초구,AI
모플,대전 유성구,AI
모플,서울 서초구,AI
메디인테크,서울 종로구,AI
메디인테크,서울 종로구,AI
브룩허스트거라지(B GARAGE),경기 성남시,AI
하나금융티아이,서울 강남구,AI
업스테이지,경기,AI
에이아이트릭스(AITRICS),서울 강남구,AI
윌로그,서울 강남구,AI
플루언트,서울 강남구,AI
와이피랩스(커넥팅),서울 강남구,AI
에이치엠이스퀘어,경기 용인시,AI
엑소시스템즈,경기 성남시,AI
제로원에이아이,경기 성남시,AI
호두에이아이랩,서울 관악구,AI
웨이센(waycenInc.),서울 강남구,AI
